Transaction_ID,Agent_ID,Agent_Type,Operator_ID,Operator_Type,Sender_Name,Sender_Country,Sender_State,Sender_District,Sender_Occupation,Sender_Mode_Txn,Sender_Affiliation,Receiver_Name,Receiver_Country,Receiver_State,Receiver_District,Receiver_Occupation,Receiver_Affiliation,Receiver_Mode_Txn,Date_Of_Txn,In_Working_Hours,Amount,Is_Fraud
TR1,AGNT3,Send,OPR15,Admin,Gael Saunders,USA,Utah,Cache,Retailer,Debit Card,Employee,Kaiden Prince,Brazil,Acre,Bujari,Banker,Employee,Cash,5/1/2016,Yes,3502,0
TR2,AGNT1,Send,OPR1,Employee,Julieta Turner,USA,California,Sacramento,Accountant,Wallet,New User,Brisa Macdonald,Brazil,Acre,Xapuri,Consultant,Employee,Cash,12/1/2016,No,1399,0
TR3,AGNT2,Send,OPR8,Employee,Kane Leonard,USA,Nevada,Eureka,Broker,Wallet,Customer,Luciana Snyder,Colombia,Antioquia,Antioquia,Accountant,Employee,Bank Account,31-01-2016,Yes,5223,0
TR4,AGNT1,Send,OPR2,Admin,London Wilkinson,USA,California,Sacramento,Broker,Bank Account,New User,Jenny Wagner,Brazil,Bahia,Valenca,Banker,New User,Cash,27-01-2016,Yes,5959,0
TR5,AGNT8,Both,OPR42,Owner,Lucy Vinson,USA,Utah,Emery,I.T Professional,Debit Card,New User,Kensley Romero,Mexico,Durango,Durango,Agent,Customer,Cash,10/1/2016,No,5922,0
TR6,AGNT2,Send,OPR12,Employee,Zariyah Richardson,USA,Nevada,Eureka,Banker,Cheque,New User,Erika Aguirre,Brazil,Bahia,Valenca,Agent,Customer,Wallet,9/1/2016,Yes,5415,1
TR7,AGNT4,Both,OPR19,Employee,Dominic Ochoa,USA,Arizona,Apache,Farmer,Debit Card,Customer,Savanna Ayala,Mexico,Durango,Durango,Grocer,New User,Bank Account,2/1/2016,Yes,5520,0
TR8,AGNT7,Both,OPR39,Employee,Rachel Tran,USA,Nevada,Fallon,Farmer,Bank Account,Customer,Samara Wolf,Colombia,Bolivar,Bolivar,I.T Professional,Customer,Prepaid Card,16-01-2016,Yes,3077,0
TR9,AGNT3,Send,OPR16,Employee,Alonso Mcdonald,USA,Utah,Cache,Grocer,Wallet,Customer,Chris Nguyen,Colombia,Bolivar,Bolivar,Teacher,Employee,Cash,31-01-2016,Yes,2696,0
TR10,AGNT6,Both,OPR33,Employee,Kaylen Taylor,USA,California,Los Angeles,Farmer,Cheque,New User,Maci Roberts,Brazil,Bahia,Jequie,Teacher,Customer,Cash,10/1/2016,Yes,4634,0
TR11,AGNT3,Send,OPR17,Employee,Demetrius Griffith,USA,Utah,Cache,Farmer,Cash,Employee,Morgan Mccray,Mexico,Campeche,Campeche,Grocer,Customer,Prepaid Card,10/1/2016,Yes,4937,0
TR12,AGNT3,Send,OPR15,Admin,Leon Berger,USA,Utah,Cache,Banker,Wallet,Employee,Sage Hughes,Brazil,Acre,Bujari,Retailer,New User,Cash,2/1/2016,Yes,3525,0
